"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"LGA","New York, NY: LaGuardia","2014/02","2","Febuary","2014","422","536","664","2","70","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","1081","1692","62","5080","7915","29823","37479","41015","37","114949","6595"
"MCO","Orlando, FL: Orlando International","2014/02","2","Febuary","2014","722","660","730","2","101","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","289","2214","13","6126","8642","44364","42224","29047","85","125134","9414"
"MDW","Chicago, IL: Chicago Midway International","2014/02","2","Febuary","2014","363","599","375","1","49","Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Southwest Airlines Co.","6","444","1388","35","4192","6059","16970","33104","14370","26","68795","4325"
"MIA","Miami, FL: Miami International","2014/02","2","Febuary","2014","327","327","371","0","73","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.","6","226","1099","28","5418","6771","24970","22273","16553","2","70370","6572"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2014/02","2","Febuary","2014","401","515","431","1","50","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","261","1399","6","5650","7316","27542","34004","17091","43","83098","4418"
"ORD","Chicago, IL: Chicago O'Hare International","2014/02","2","Febuary","2014","1084","2041","2078","2","127","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","10","1518","5332","48","12914","19812","87681","142872","114502","51","355785","10679"
"PDX","Portland, OR: Portland International","2014/02","2","Febuary","2014","290","368","357","2","16","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","102","1034","5","2721","3862","17172","22575","11797","94","52865","1227"
"PHL","Philadelphia, PA: Philadelphia International","2014/02","2","Febuary","2014","350","346","497","2","39","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","422","1234","53","3842","5551","23752","22145","31249","237","81872","4489"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2014/02","2","Febuary","2014","751","897","623","4","47","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","195","2322","2","9552","12071","40496","49683","20439","128","114847","4101"
"SAN","San Diego, CA: San Diego International","2014/02","2","Febuary","2014","469","638","363","1","42","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","123","1515","37","3810","5485","22082","35227","13226","21","73510","2954"
"SEA","Seattle, WA: Seattle/Tacoma International","2014/02","2","Febuary","2014","416","499","589","2","38","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","88","1547","5","5387","7027","22376","31586","19781","97","77230","3390"
"SFO","San Francisco, CA: San Francisco International","2014/02","2","Febuary","2014","716","1174","2468","6","151","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","719","4516","44","6802","12081","44702","89615","184589","240","332440","13294"
"SLC","Salt Lake City, UT: Salt Lake City International","2014/02","2","Febuary","2014","432","481","340","2","39","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","122","1295","2","6388","7807","26186","26467","11685","37","68580","4205"
"TPA","Tampa, FL: Tampa International","2014/02","2","Febuary","2014","434","408","403","3","46","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","195","1292","10","3647","5144","22533","24630","15895","113","67712","4541"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2014/03","3","March","2014","1432","2473","1975","5","117","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","341","6001","15","26345","32702","113515","145086","66091","148","339059","14219"
"BOS","Boston, MA: Logan International","2014/03","3","March","2014","502","654","410","2","29","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","191","1597","3","7531","9322","25962","37265","15403","80","80318","1608"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2014/03","3","March","2014","502","847","287","7","24","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","221","1665","10","5914","7810","22719","44183","9967","163","78510","1478"
"CLT","Charlotte, NC: Charlotte Douglas International","2014/03","3","March","2014","529","494","505","4","25","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","172","1557","7","8056","9792","27507","24907","16727","159","70859","1559"
"DCA","Washington, DC: Ronald Reagan Washington National","2014/03","3","March","2014","346","346","392","2","29","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","384","1117","7","4511","6019","19508","19051","16337","51","57234","2287"
"DEN","Denver, CO: Denver International","2014/03","3","March","2014","978","1749","1305","4","105","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","291","4145","23","14537","18996","55406","102708","60332","138","226910","8326"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2014/03","3","March","2014","938","1746","1449","4","114","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","11","713","4247","95","18705","23760","79846","116603","52136","119","260185","11481"
"DTW","Detroit, MI: Detroit Metro Wayne County","2014/03","3","March","2014","419","556","381","1","44","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","193","1397","8","7397","8995","28878","34426","14012","83","80355","2956"
"EWR","Newark, NJ: Newark Liberty International","2014/03","3","March","2014","462","687","786","1","43","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","381","1978","4","7504","9867","29213","43210","41989","35","116979","2532"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2014/03","3","March","2014","433","491","829","3","43","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","60","1801","13","4727","6601","24058","30893","35529","123","93938","3335"
"IAD","Washington, DC: Washington Dulles International","2014/03","3","March","2014","265","478","208","0","18","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","8","310","973","5","3927","5215","15344","35154","9941","0","62756","2317"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2014/03","3","March","2014","793","1212","800","1","75","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","9","364","2880","22","12104","15370","50420","74773","35139","12","167918","7574"
"JFK","New York, NY: John F. Kennedy International","2014/03","3","March","2014","404","487","556","0","19","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","9","180","1466","13","6772","8431","25642","28217","27824","19","83281","1579"
"LAS","Las Vegas, NV: McCarran International","2014/03","3","March","2014","775","1202","569","1","26","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","79","2573","7","9303","11962","34984","56196","17008","25","109678","1465"
"LAX","Los Angeles, CA: Los Angeles International","2014/03","3","March","2014","1037","1536","1390","8","78","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","236","4050","21","14740","19047","55167","85601","43500","241","190152","5643"
"LGA","New York, NY: LaGuardia","2014/03","3","March","2014","487","534","893","0","48","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,SkyWest Airlines Inc.,US Airways Inc.,Southwest Airlines Co.","11","324","1962","21","6712","9019","39572","33879","45916","0","122899","3532"
"MCO","Orlando, FL: Orlando International","2014/03","3","March","2014","669","737","721","3","56","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","87","2187","7","8183","10464","40289","47547","29950","74","124005","6145"
"MDW","Chicago, IL: Chicago Midway International","2014/03","3","March","2014","458","810","340","3","18","Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Southwest Airlines Co.","6","113","1630","12","5663","7418","18856","38605","10403","83","69158","1211"
"MIA","Miami, FL: Miami International","2014/03","3","March","2014","284","370","456","1","35","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","7","105","1146","26","6331","7608","17420","24243","19966","8","64256","2619"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2014/03","3","March","2014","435","503","402","3","20","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","98","1365","11","7143","8617","26843","29088","12614","171","71071","2355"
"ORD","Chicago, IL: Chicago O'Hare International","2014/03","3","March","2014","1028","1998","2168","2","95","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","10","860","5293","14","16755","22922","71619","124701","117021","118","323521","10062"
"PDX","Portland, OR: Portland International","2014/03","3","March","2014","259","387","190","2","13","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","24","852","2","3773","4651","12641","20847","5585","46","39643","524"
"PHL","Philadelphia, PA: Philadelphia International","2014/03","3","March","2014","404","377","601","4","41","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","145","1423","13","4908","6489","24346","24456","31010","90","83355","3453"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2014/03","3","March","2014","813","1095","675","2","29","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.","11","114","2612","11","12001","14738","41743","54194","21247","45","119221","1992"
"SAN","San Diego, CA: San Diego International","2014/03","3","March","2014","436","618","254","1","17","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","69","1326","12","5023","6430","18838","29958","7511","25","57384","1052"
"SEA","Seattle, WA: Seattle/Tacoma International","2014/03","3","March","2014","457","495","330","2","21","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","41","1305","5","6920","8271","23165","26298","10203","84","61539","1789"
"SFO","San Francisco, CA: San Francisco International","2014/03","3","March","2014","704","1185","1372","2","73","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","275","3335","27","10209","13846","37913","70490","72424","67","185666","4772"
"SLC","Salt Lake City, UT: Salt Lake City International","2014/03","3","March","2014","409","530","291","0","20","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","74","1254","4","8039","9371","22653","27544","9387","25","61800","2191"
"TPA","Tampa, FL: Tampa International","2014/03","3","March","2014","494","557","400","0","35","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","64","1486","11","4938","6499","25788","31715","17852","11","78502","3136"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2014/04","4","April","2014","1177","2128","1826","4","104","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","143","5240","21","25713","31117","96747","121418","60865","249","288128","8849"
"BOS","Boston, MA: Logan International","2014/04","4","April","2014","421","665","422","4","31","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","65","1544","5","7760","9374","21529","39799","20986","121","84270","1835"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2014/04","4","April","2014","431","783","276","5","22","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,Envoy Air,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","24","1517","9","6253","7803","21111","38301","10344","124","71090","1210"
"CLT","Charlotte, NC: Charlotte Douglas International","2014/04","4","April","2014","378","484","544","1","22","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","80","1431","9","7961","9481","20737","26720","18307","32","67166","1370"
"DCA","Washington, DC: Ronald Reagan Washington National","2014/04","4","April","2014","303","313","363","0","28","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","109","1008","10","4823","5950","15121","17527","14289","0","48435","1498"
"DEN","Denver, CO: Denver International","2014/04","4","April","2014","821","1364","831","3","53","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","151","3072","24","14208","17455","48968","77283","34012","107","165260","4890"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2014/04","4","April","2014","801","1579","1393","2","146","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","11","291","3919","140","18278","22628","79620","107167","55519","76","255641","13259"
"DTW","Detroit, MI: Detroit Metro Wayne County","2014/04","4","April","2014","339","484","229","1","25","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","75","1078","8","7466","8627","21959","29206","8567","28","61480","1720"
"EWR","Newark, NJ: Newark Liberty International","2014/04","4","April","2014","339","594","1774","0","49","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","468","2758","18","5837","9081","24037","42778","129860","20","200723","4028"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2014/04","4","April","2014","371","392","546","2","23","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","39","1333","14","4456","5842","19620","23876","19346","62","64763","1859"
"IAD","Washington, DC: Washington Dulles International","2014/04","4","April","2014","220","417","238","2","20","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","8","88","897","7","3995","4987","12093","27505","10361","40","51034","1035"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2014/04","4","April","2014","539","908","874","0","65","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","9","172","2385","42","11098","13697","33049","54922","34570","12","126790","4237"
"JFK","New York, NY: John F. Kennedy International","2014/04","4","April","2014","352","470","821","1","28","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America","9","121","1670","42","6376","8209","20780","29877","45107","44","97124","1316"
"LAS","Las Vegas, NV: McCarran International","2014/04","4","April","2014","650","1152","541","2","29","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","63","2376","25","9213","11677","30332","56996","19044","62","108335","1901"
"LAX","Los Angeles, CA: Los Angeles International","2014/04","4","April","2014","888","1388","1264","8","66","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","160","3615","46","14728","18549","52767","76770","42972","190","176699","4000"
"LGA","New York, NY: LaGuardia","2014/04","4","April","2014","382","511","940","0","57","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","195","1888","39","6986","9108","24309","32176","51492","0","111089","3112"
"MCO","Orlando, FL: Orlando International","2014/04","4","April","2014","624","602","637","2","47","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","43","1912","52","7550","9557","36381","37964","24590","46","102878","3897"
"MDW","Chicago, IL: Chicago Midway International","2014/04","4","April","2014","467","787","300","3","51","Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Southwest Airlines Co.","5","27","1607","21","5781","7436","20832","38790","10641","76","73637","3298"
"MIA","Miami, FL: Miami International","2014/04","4","April","2014","299","318","366","2","27","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.","6","36","1013","11","6001","7061","20903","18863","11759","76","53391","1790"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2014/04","4","April","2014","356","458","400","6","33","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","91","1250","20","7240","8601","27452","27818","13818","133","72264","3043"
"ORD","Chicago, IL: Chicago O'Hare International","2014/04","4","April","2014","855","1866","2615","7","115","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","10","536","5456","83","17159","23234","68340","126032","131417","228","335434","9417"
"PDX","Portland, OR: Portland International","2014/04","4","April","2014","200","326","142","3","10","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","19","678","3","3915","4615","9355","17914","4431","126","32501","675"
"PHL","Philadelphia, PA: Philadelphia International","2014/04","4","April","2014","338","301","449","2","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,AirTran Airways Corporation,Envoy Air,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","49","1129","5","5096","6279","20353","17619","19933","53","60317","2359"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2014/04","4","April","2014","695","980","558","3","25","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","117","2259","11","11174","13561","34530","49432","17190","69","102457","1236"
"SAN","San Diego, CA: San Diego International","2014/04","4","April","2014","396","626","254","1","15","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","57","1292","7","4899","6255","18014","31133","9136","44","59395","1068"
